tipo_entidad,tipo_identificacion,num_identificacion,cod_eapb,nombre,cod_mpio
2,MU,05002,05002,Municipal de ABEJORRAL,05002
2,MU,05004,05004,Municipal de ABRIAQUI,05004
2,MU,05021,05021,Municipal de ALEJANDRIA,05021
2,MU,05030,05030,Municipal de AMAGA,05030
2,MU,05031,05031,Municipal de AMALFI,05031
2,MU,05034,05034,Municipal de ANDES,05034
2,MU,05036,05036,Municipal de ANGELOPOLIS,05036
2,MU,05038,05038,Municipal de ANGOSTURA,05038
2,MU,05040,05040,Municipal de ANORI,05040
2,MU,05042,05042,Municipal de ANTIOQUIA,05042
2,MU,05044,05044,Municipal de ANZA,05044
2,MU,05045,05045,Municipal de APARTADO,05045
2,MU,05051,05051,Municipal de ARBOLETES,05051
2,MU,05055,05055,Municipal de ARGELIA,05055
2,MU,05059,05059,Municipal de ARMENIA,05059
2,MU,05079,05079,Municipal de BARBOSA,05079
2,MU,05086,05086,Municipal de BELMIRA,05086
2,MU,05088,05088,Municipal de BELLO,05088
2,MU,05091,05091,Municipal de BETANIA,05091
2,MU,05093,05093,Municipal de BETULIA,05093
2,MU,05101,05101,Municipal de BOLIVAR,05101
2,MU,05107,05107,Municipal de BRICENO,05107
2,MU,05113,05113,Municipal de BURITICA,05113
2,MU,05120,05120,Municipal de CACERES,05120
2,MU,05125,05125,Municipal de CAICEDO,05125
2,MU,05129,05129,Municipal de CALDAS,05129
2,MU,05134,05134,Municipal de CAMPAMENTO,05134
2,MU,05138,05138,Municipal de CANASGORDAS,05138
2,MU,05142,05142,Municipal de CARACOLI,05142
2,MU,05145,05145,Municipal de CARAMANTA,05145
2,MU,05147,05147,Municipal de CAREPA,05147
2,MU,05148,05148,Municipal de CARMEN DE VIBORAL,05148
2,MU,05150,05150,Municipal de CAROLINA,05150
2,MU,05154,05154,Municipal de CAUCASIA,05154
2,MU,05172,05172,Municipal de CHIGORODO,05172
2,MU,05190,05190,Municipal de CISNEROS,05190
2,MU,05197,05197,Municipal de COCORNA,05197
2,MU,05206,05206,Municipal de CONCEPCION,05206
2,MU,05209,05209,Municipal de CONCORDIA,05209
2,MU,05212,05212,Municipal de COPACABANA,05212
2,MU,05234,05234,Municipal de DABEIBA,05234
2,MU,05237,05237,Municipal de DONMATIAS,05237
2,MU,05240,05240,Municipal de EBEJICO,05240
2,MU,05250,05250,Municipal de EL BAGRE,05250
2,MU,05264,05264,Municipal de ENTRERRIOS,05264
2,MU,05266,05266,Municipal de ENVIGADO,05266
2,MU,05282,05282,Municipal de FREDONIA,05282
2,MU,05284,05284,Municipal de FRONTINO,05284
2,MU,05306,05306,Municipal de GIRALDO,05306
2,MU,05308,05308,Municipal de GIRARDOTA,05308
2,MU,05310,05310,Municipal de GOMEZ PLATA,05310
2,MU,05313,05313,Municipal de GRANADA,05313
2,MU,05315,05315,Municipal de GUADALUPE,05315
2,MU,05318,05318,Municipal de GUARNE,05318
2,MU,05321,05321,Municipal de GUATAPE,05321
2,MU,05347,05347,Municipal de HELICONIA,05347
2,MU,05353,05353,Municipal de HISPANIA,05353
2,MU,05360,05360,Municipal de ITAGUI,05360
2,MU,05361,05361,Municipal de ITUANGO,05361
2,MU,05001,05001,Secretaria de Seguridad Social Municipal de Medellin,05001
2,MU,05376,05376,Municipal de LA CEJA DEL TAMBO,05376
2,MU,05380,05380,Municipal de LA ESTRELLA,05380
2,MU,05390,05390,Secretaria de LA PINTADA,05390
2,MU,05400,05400,Municipal de LA UNION,05400
2,MU,05411,05411,Municipal de LIBORINA,05411
2,MU,05425,05425,Municipal de MACEO,05425
2,MU,05440,05440,Municipal de MARINILLA,05440
2,MU,05467,05467,Municipal de MONTEBELLO,05467
2,MU,05475,05475,Secretaria de MURINDO,05475
2,MU,05480,05480,Municipal de MUTATA,05480
2,MU,05483,05483,Municipal de NARINO,05483
2,MU,05490,05490,Municipal de NECOCLI,05490
2,MU,05495,05495,Municipal de NECHI,05495
2,MU,05501,05501,Municipal de OLAYA,05501
2,MU,05541,05541,Municipal de PENOL,05541
2,MU,05543,05543,Municipal de PEQUE,05543
2,MU,05576,05576,Municipal de PUEBLORRICO,05576
2,MU,05579,05579,Municipal de PUERTO BERRIO,05579
2,MU,05585,05585,Municipal de PUERTO NARE,05585
2,MU,05591,05591,Municipal de PUERTO TRIUNFO,05591
2,MU,05604,05604,Municipal de REMEDIOS,05604
2,MU,05607,05607,Municipal de RETIRO,05607
2,MU,05615,05615,Municipal de RIONEGRO,05615
2,MU,05628,05628,Municipal de SABANALARGA,05628
2,MU,05631,05631,Municipal de SABANETA,05631
2,MU,05642,05642,Municipal de SALGAR,05642
2,MU,05647,05647,Municipal de SN ANDRES DE CUERQUIA,05647
2,MU,05649,05649,Municipal de SAN CARLOS,05649
2,MU,05652,05652,Municipal de SAN FRANCISCO,05652
2,MU,05656,05656,Municipal de SAN JERONIMO,05656
2,MU,05658,05658,Municipal de SAN JOSE DE LA MONTANA,05658
