codigo_CIE_10,Descripcion Codigo Cie X,Codigo_dx_agrupado,Cod_capitulo_dx,Codigo _sub_grupo_dx,cod_sexo,Edad Minima,Edad maxima
A000,COLERA DEBIDO A VIBRIO CHOLERAE O1 BIOTIPO CHOLERAE,A00,I,A0,A,0,999
A001,COLERA DEBIDO A VIBRIO CHOLERAE O1 BIOTIPO EL TOR,A00,I,A0,A,0,999
A009,COLERA NO ESPECIFICADO,A00,I,A0,A,0,999
A010,FIEBRE TIFOIDEA,A01,I,A0,A,0,999
A011,FIEBRE PARATIFOIDEA A,A01,I,A0,A,0,999
A012,FIEBRE PARATIFOIDEA B,A01,I,A0,A,0,999
A013,FIEBRE PARATIFOIDEA C,A01,I,A0,A,0,999
A014,FIEBRE PARATIFOIDEA NO ESPECIFICADA,A01,I,A0,A,0,999
A020,ENTERITIS DEBIDA A SALMONELLA,A02,I,A0,A,0,999
A021,SEPTICEMIA DEBIDA A SALMONELLA,A02,I,A0,A,0,999
A022,INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA,A02,I,A0,A,0,999
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,A02,I,A0,A,0,999
A029,INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA,A02,I,A0,A,0,999
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,A03,I,A0,A,0,999
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,A03,I,A0,A,0,999
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,A03,I,A0,A,0,999
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,A03,I,A0,A,0,999
A038,OTRAS SHIGELOSIS,A03,I,A0,A,0,999
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,A03,I,A0,A,0,999
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,A04,I,A0,A,0,999
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,A04,I,A0,A,0,999
