|Cod a homo|CUPS  |
|-399804   |399802|
|011304P   |11304 |
|013201 P  |13201 |
|013201P   |13201 |
|015201-1  |15201 |
|015201-2  |15201 |
|015201-2P |15201 |
|019200-13 |19200 |
|019200-1P |19200 |
|019200-2P |19200 |
|019202 P  |17004 |
|020400 P  |20401 |
|020400P   |20401 |
|021214-1 P|21214 |
|021214-1P |21214 |
|022103 P  |22103 |
|022103P   |22103 |
|025000-1  |25000 |
|028301-1  |28301 |
|028301P   |28301 |
|028302-1  |28302 |
|028302-12 |28302 |
|028302P   |28302 |
|028304-1  |28304 |
|028304-11 |28304 |
|030201P   |30201 |
|031005    |248800|
|035100 P  |35101 |
|035100P   |35100 |
|035110 P  |781930|
|035120 P  |780932|
|039001P   |39001 |
|039100P   |39100 |
|039100P1  |39100 |
|039300-11 |39300 |
|039300P   |39300 |
|039300P1  |39300 |
|039302 P  |39302 |
|039302 P1 |39302 |
|039302 P2 |39302 |
|039302P2  |39302 |
|039305 P  |39300 |
|042101P   |42101 |
|044300P   |44301 |
|048200 P  |48200 |
|048200P   |48200 |
|052201 P  |52402 |
|052201P   |52402 |
|052401-1  |52401 |
|053100 P  |48102 |
|053100P   |48102 |
|053103P   |53103 |
|053114-2  |53114 |
|053114P   |53114 |
|053115 P  |53115 |
|053115P   |53115 |
|053117-S  |53101 |
|053118 P  |53101 |
|053118P   |53101 |
|053121 P  |53115 |
|053121P   |53115 |
|053300 P  |53301 |
|053301P   |53301 |
|053305P   |53301 |
|053306 P  |53301 |
|053307 P  |53301 |
|053308 P  |53301 |
|053309 P  |53301 |
|053310 P  |53301 |
|061100P   |61100 |
|063903P   |63903 |
|064100P   |64100 |
|067000P   |67000 |
|068100 P1 |68100 |
|068100P1  |68100 |
|072000 P  |72200 |
|072001 P  |446604|
|082302    |82302 |
|082401    |82401 |
|082502-3  |82500 |
|082502-31 |82500 |
|086101-P1 |86101 |
|086102P   |86102 |
|089102-3  |89101 |
|089102-31 |89101 |
|099100-3  |99100 |
|099100-31 |99100 |
|103202-3  |103202|
|116000    |116300|
|116100-1  |116100|
|116100-12 |116100|
|116100-1P |116100|
|116100-1P2|116100|
|116100P   |116100|
|116200-1  |116200|
|116200-1P |116200|
|116200P   |116200|
|116300-1  |116300|
|117010    |117500|
|117300-1  |117300|
|117500 P  |117500|
|117500 P1 |117500|
|117500P   |117500|
|117500P1  |117500|
|121200-3  |121200|
|123002-3  |123002|
|123500-3  |123500|
|123500-31 |123500|
|127501-3  |127501|
|132300 P2 |132300|
|132300.   |132300|
|132300P1  |132300|
|132300P2  |132300|
|136502-3  |136502|
|137100P1  |137100|
|141101P   |141101|
|142300-3  |142300|
|142300-31 |142300|
|143300-3  |143300|
|145300-3  |145300|
|145300-31 |145300|
|149000 P  |922805|
|154101P   |154101|
|154103P   |154103|
|168302 P  |168406|
|168302P   |168406|
|168303 P  |168300|
|168303P   |168300|
|168402 P  |168402|
|168402P   |168402|
|168405 P1 |168405|
|168405P1  |168405|
|185102 P  |185100|
|185102P   |185100|
|209600 P2 |209600|
|209600-S  |209600|
|209600P   |209600|
|209600P2  |209600|
|209602- P1|209602|
|209602-1  |209602|
|209602-P1 |209602|
|2100000013|210000|
|2100000014|210000|
|213102P   |213102|
|218701P   |218701|
|218702P   |218702|
|218802P   |218802|
|218910P   |218910|
|226300 P  |226302|
|226300P   |226302|
|226305-1  |226305|
|226305-1 P|226305|
|226305-1P |226305|
|230100-2  |230100|
|230100-21 |230100|
|230100-23 |230100|
|230100-34 |230100|
|230100-35 |230100|
|230100-36 |230100|
|230100-37 |230100|
|230100-38 |230100|
|230100-39 |230100|
|230100-4  |230100|
|230100-41 |230100|
|230101-2  |230101|
|230101-22 |230101|
|230101-23 |230101|
|230101-3  |230101|
|230101-31 |230101|
|230101-32 |230101|
|230101-33 |230101|
|230101-34 |230101|
|230101-39 |230101|
|230102-2  |230102|
|230201-1  |230201|
|230201-2  |230201|
|230201-21 |230201|
|230201-22 |230201|
|230201-3  |230201|
|230201-31 |230201|
|230202-2  |230202|
|231100-2  |231100|
|231100-3  |231100|
|231100-31 |231100|
|231100-32 |231100|
|231100-33 |231100|
|231100-34 |231100|
|231100-35 |231100|
|231100-36 |231100|
|231100-37 |231100|
|231100-38 |231100|
|231100-39 |231100|
|231200-1  |231200|
|231200-2  |231200|
|231200-3  |231200|
|231300    |231303|
|231300-1  |231303|
|231300-22 |231300|
|231300-24 |231300|
|231300-3  |231300|
|231300-32 |231300|
|231300-33 |231300|
|231300-34 |231300|
|231300-37 |231300|
|231300-38 |231300|
|231300-39 |231300|
|231301-1  |231301|
|231400-11 |231400|
|231400-12 |231400|
|231400-13 |231400|
|231400-14 |231400|
|231400-2  |231400|
|231400-21 |231400|
|231400-23 |231400|
|231400-24 |231400|
|231400-25 |231400|
|231400-26 |231400|
|231400-3  |231400|
|231400-32 |231400|
|231400-35 |231400|
|231400-36 |231400|
|231400-37 |231400|
|231400-4  |231400|
|231400-41 |231400|
|231400-42 |231400|
|231400-43 |231400|
|231400-44 |231400|
|231500-2  |231500|
|231500-22 |231500|
|231500-3  |231500|
|231500-33 |231500|
|231500-34 |231500|
|231500-35 |231500|
|231500-36 |231500|
|231500-37 |231500|
|231500-38 |231500|
|231500-39 |231500|
|232100-20 |232101|
|232100-21 |232101|
|232100-22 |232102|
|232100-23 |232102|
|232100-24 |232103|
|232100-25 |232103|
|232100-26 |232103|
|232100-27 |232103|
|232100-32 |232103|
|232102-2  |232102|
|232103-2  |232103|
|232401-2  |232401|
|232402-2  |232402|
|234103-2  |234103|
|234104-2  |234104|
|234201-2  |234201|
|234202-1  |234202|
|234301-2  |234301|
|234401-1  |234401|
|234401-2  |234401|
|234402-2  |234402|
|234402-20 |234402|
|234402-21 |234402|
|234402-22 |234402|
|234402-31 |234402|
|234402-34 |234402|
|235100-10 |235100|
|235100-13 |235100|
|235100-14 |235100|
|235100-2  |235100|
|235100-20 |235100|
|235100-21 |235100|
|235100-22 |235100|
|235100-24 |235100|
|235100-25 |235100|
|235100-26 |235100|
|235100-28 |235100|
|235100-29 |235100|
|235100-3  |235100|
|235100-34 |235100|
|235100-36 |235100|
|235100-37 |235100|
|235100-38 |235100|
|235100-4  |235100|
|236100-1  |236100|
|236100-2  |236100|
|236100-4  |236100|
|236300-1  |236300|
|236300-13 |236300|
|236300-14 |236300|
|236300-15 |236300|
|236300-16 |236300|
|236300-17 |236300|
|236300-18 |236300|
|236300-19 |236300|
|236300-2  |236300|
|236300-20 |236300|
|236300-21 |236300|
|236300-22 |236300|
|236300-23 |236300|
|236300-24 |236300|
|236300-25 |236300|
|236300-26 |236300|
|236300-27 |236300|
|236300-28 |236300|
|236300-29 |236300|
|236300-38 |236300|
|236300-4  |236300|
|236300-41 |236300|
|236300-42 |236300|
|236300-43 |236300|
|236300-44 |236300|
|236300-45 |236300|
|236300-46 |236300|
|236300-47 |236300|
|236300-48 |236300|
|237100-1  |237100|
|237101-2  |237101|
|237101-23 |237101|
|237101-24 |237101|
|237101-26 |237101|
|237101-27 |237101|
|237101-28 |237101|
|237101-29 |237101|
|237101-3  |237101|
|237101-31 |237101|
|237101-33 |237101|
|237101-34 |237101|
|237101-35 |237101|
|237101-36 |237101|
|237101-37 |237101|
|237101-39 |237101|
|237200-2  |237200|
|237200-22 |237200|
|237200-23 |237200|
|237200-24 |237200|
|237200-25 |237200|
|237200-26 |237200|
|237200-28 |237200|
|237200-31 |237200|
|237200-32 |237200|
|237200-33 |237200|
|237200-36 |237200|
|237200-37 |237200|
|237200-39 |237200|
|237300-2  |237300|
|237300-21 |237300|
|237301-2  |237301|
|237302-2  |237302|
|237302-21 |237302|
|237303-2  |237303|
|237303-22 |237303|
|237401-1  |237401|
|237401-11 |237401|
|237401-2  |237401|
|237401-21 |237401|
|237901-2  |237901|
|240200-1  |240200|
|240200-2  |240200|
|240200-20 |240200|
|240200-31 |240200|
|240300-2  |240300|
|240300.   |240300|
|240400-2  |240400|
|240400-3  |240400|
|241103-2  |241103|
|242102-3  |242102|
|242102-31 |242102|
|242204-2  |242204|
|242400-3  |242400|
|243400-4  |243400|
|247100-2  |247100|
|247100-21 |247100|
|256100-2  |256100|
|263207 P  |63900 |
|263207P   |63900 |
|263208 P  |263206|
|263208P   |263206|
|263209 P  |263200|
|263209P   |263200|
|282100P   |282100|
|283100P   |283100|
|286100P   |286100|
|293500 P  |311300|
|293500P   |311300|
|300203.   |300203|
|314201P   |314201|
|314204 P  |314204|
|314204P   |314204|
|316700 P  |316700|
|316700P   |316700|
|317000 P  |317100|
|317501-3  |317501|
|317502 P  |317501|
|317503 P  |317501|
|319300-2  |319300|
|320202.   |320202|
|323001 P  |323100|
|323100 P  |323100|
|323100-1  |323100|
|323100.   |323100|
|323100P   |323100|
|323101 P  |323100|
|323101P   |323100|
|324001 P  |324200|
|324201 P  |324200|
|324201P   |324200|
|332001 .  |332001|
|332001-2 P|332001|
|332002    |332200|
|332002 P  |332001|
|332002P   |332001|
|332004 P  |332001|
|332004P   |332001|
|332200    |332202|
|332201.   |332201|
|332201P   |332201|
|332202    |332201|
|332601P   |332601|
|340000-1  |343303|
|342200P   |342200|
|343302 P  |343302|
|343302P   |343302|
|343303 P  |343303|
|343303P   |343303|
|345001 P  |345100|
|345100.   |345100|
|345101 P  |345100|
|345101P   |345100|
|345300.   |345300|
|345301 P  |345300|
|345301P   |345300|
|345901 P  |345300|
|347000 P  |347005|
|347000P   |347005|
|347500.   |347500|
|347802-1  |347802|
|351200P   |351200|
|352200P   |352200|
|352400P   |352400|
|355101P   |355101|
|355200P   |355200|
|355201P   |355201|
|358301P   |358301|
|358711P   |358301|
|359000    |361000|
|359000 P  |359300|
|359000 P1 |361701|
|359000P   |363200|
|359700P   |359700|
|360104 P  |360201|
|360104P   |360201|
|361701P   |361701|
|372201P   |876131|
|372301 P  |372301|
|372301.   |372301|
|372301P   |372301|
|372700P   |372700|
|373302-1  |373302|
|373302-1 P|373302|
|373302-1P |373302|
|373400    |373401|
|373400 P  |373400|
|373400P   |373400|
|373402 P  |373402|
|373402P   |373402|
|373500    |352100|
|375100 P2 |375100|
|375100 P3 |375100|
|375100-S3 |375100|
|375100P   |375100|
|375100P1  |375100|
|375100P1M |375100|
|375100P2  |375100|
|375100P3  |375100|
|375100P4  |375100|
|378301P   |377500|
|378302 P  |378500|
|378302P   |378500|
|379401..  |379401|
|379401P   |379401|
|379403 P  |379402|
|379403P   |379402|
|380110P   |380110|
|380210P   |380210|
