CODIGO CUPS,DESCRIPCION DEL PROCEDIMIENTO,Codigo Sistema CUPS,,Codigo Grupo CUPS,,Codigo Ambito CUPS,Codigo Sexo CUPS,Codigo Nivel Atencion
010100,PUNCION CISTERNAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
010101,PUNCION CISTERNAL VIA LATERAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
010102,PUNCION CISTERNAL VIA MEDIAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
010200,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
010201,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
010202,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR POR TREPANACION SIN CATETER,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
010203,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR A TRAVES DE UN RESERVORIO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
010204,PUNCION ASPIRACION DE LIQUIDO VENTRICULAR VIA TRANSFONTANELAR º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
010900,OTRA PUNCION CRANEAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,SD
010901,PUNCION SUBDURAL,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011100,BIOPSIA DE CRANEO SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011101,BIOPSIA OSEA EN CRANEO POR CRANEOTOMIA +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011102,BIOPSIA OSEA EN CRANEO POR CRANIECTOMIA º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011200,BIOPSIA DE MENINGE CEREBRAL SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011201,BIOPSIA DE MENINGE POR CRANEOTOMIA,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011300,BIOPSIA DE CEREBRO SOD º,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011301,BIOPSIA CERRADA PERCUTANEA AGUJA DE CEREBRO +,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011302,BIOPSIA ABIERTA CRANEOTOMIA DE CEREBRO,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
011303,BIOPSIA DE CEREBRO POR TREPANACION,1,Sistema Nervioso,11,Proced quirurgicos,Z,A,3
